acquisition_value,descriptor,fingerprint,fitness,niche_index,pedigree,predicted_fitness,predicted_uncertainty,smiles
tensor(-1.2017),"[0.6945089562787877, 0.9429733333333341, 0.24407142857142858, 0.8207111111111116]",[0 0 0 ... 0 1 0],0.27941176470588236,71.0,"('crossover', 'CC(=O)NCc1ccc(OC(F)(F)F)cc1', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3OC(F)(F)F)CC(C)(CO)O4)CC2)cc1')",0.30068246352124095,0.0016834658472267314,COc1ccc(N2CCN(c3c(C)c(C)c4c(c3OC(F)(F)F)CC(C)(F)O4)CC2)cc1
tensor(-1.0169),"[0.6881945677575755, 0.7216900000000005, 0.8534285714285713, 0.8489022222222226]",[0 0 0 ... 0 0 0],0.3643410852713178,72.0,"('crossover', 'Cc1ccc(-c2nc(CCC(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1', 'Cc1ccc(-c2nc(CCC(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1')",0.3617253564742294,7.872778962887549e-05,Cc1ccc(-c2nc(CCC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1
tensor(-2.4608),"[0.2730626443757575, 0.43212, 0.728642857142857, 0.47539444444444473]",[0 0 0 ... 1 0 0],0.3274336283185841,73.0,"('mutation', '[*:1]~[D1]>>[*:1]', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(ON)cc1)CO2')",0.3774041247984279,0.0019090696302573676,Cc1c(O)cc(O)c2c1OCC(Cc1ccc(ON)cc1)C2=O
tensor(-1.0254),"[0.7002929617212122, 0.6281000000000002, 0.6920714285714286, 0.7393355555555557]",[0 1 0 ... 0 0 0],0.3543307086614173,78.0,"('mutation', '[*:1]!-[*:2]>>[*:1]-[*:2]', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.35865896659611674,9.137375666711556e-05,COc1ccc(CC2SC(=O)NC2=O)cc1C(O)NCc1ccc(OC(F)(F)F)cc1
tensor(-43.0750),"[0.6518235234787879, 0.7129500000000003, 0.5475714285714286, 0.7253822222222225]",[0 0 0 ... 0 0 0],0.3492063492063492,80.0,"('mutation', '[*:1]~[D1]>>[*:1]', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.32882373862510833,0.0018750899584450433,COc1ccc(CC2SC(=O)NC2=O)cc1CNCc1ccc(OC(F)(F)F)cc1
tensor(-1.0410),"[0.0849723600969697, 0.29914999999999997, 0.5402142857142856, 0.2586722222222225]",[0 0 0 ... 0 0 0],0.3711340206185567,81.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(O)NCc1ccc(OC(F)(F)F)cc1')",0.3531127868684956,0.002050140176831209,COc1ccc(CC2SC(=O)NC2=O)cc1O
tensor(-2.0916),"[0.2340479199393938, 0.6612100000000004, 0.11221428571428572, 0.5932333333333341]",[0 0 0 ... 0 0 0],0.24786324786324787,82.0,"('crossover', 'COc1ccc(C(=O)NO)cc1C(=O)NO', 'CCC1(C)Cc2c(C)c(N3CCN(c4ccc(OC)cc4)CC3)c(C)c(C)c2O1')",0.30459244232898125,0.002039791277352602,CCC1(C)Cc2c(C)c(N3CCN(C)CC3)c(C)c(C)c2O1
tensor(-5.6515),"[0.3882112343636362, 0.5760566666666668, 0.5402142857142858, 0.5503500000000004]",[0 0 0 ... 0 0 0],0.5729166666666666,83.0,"('crossover', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(O)c1O)CCC(C)(CF)O2')",0.41084180946727283,0.0023689309224610103,Cc1c(C)c2c(c(CC3SC(=O)NC3=O)c1O)CCC(C)(CF)O2
tensor(-1.0261),"[0.7002929617212122, 0.5123000000000001, 0.6920714285714286, 0.7391300000000001]",[0 0 0 ... 0 0 0],0.25547445255474455,90.0,"('mutation', '[*:1]!-[*:2]>>[*:1]-[*:2]', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.35841530324082543,8.943925595600984e-05,COc1ccc(CC2SC(O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1
tensor(-3.2821),"[0.1880654978060606, 0.6081866666666668, 0.42364285714285715, 0.41669666666666705]",[0 0 0 ... 0 0 0],0.4019607843137255,98.0,"('crossover', 'Cc1ccc(-c2nc(CCC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1', 'COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1')",0.35286498358518725,0.002228027986249772,Cc1ccc(-c2ccc(CC3SC(=O)NC3=O)cc2)o1
tensor(-1.0221),"[0.27003586724848483, 0.8478766666666672, 0.2157857142857143, 0.5095444444444447]",[0 0 0 ... 0 0 0],0.2956521739130435,102.0,"('crossover', 'Cc1c(O)c(C)c2cc(Cc3ccc(F)cc3)c(=O)oc2c1C', 'Cc1c(O)c(C)c2cc(Cc3ccc(F)cc3)c(=O)oc2c1C')",0.35984196918235745,9.186224916288895e-05,Cc1c(F)c(C)c2cc(Cc3ccc(F)cc3)c(=O)oc2c1C
tensor(-2.2739),"[0.04580658370909091, 0.5446400000000001, 0.3549285714285714, 0.2508288888888893]",[0 0 0 ... 0 0 0],0.35051546391752575,105.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(CF)O2', 'Cc1c(C)c2c(c(-c3cc(-c4ccc(O)cc4)no3)c1O)CCC(C)(C)O2')",0.33875863834319614,0.002626489380285262,Cc1c(C)c2c(c(O)c1O)CCC(C)(CF)O2
tensor(-2.9973),"[0.470071344690909, 0.8284066666666674, 0.3982857142857143, 0.5844033333333335]",[0 0 0 ... 1 0 0],0.3826086956521739,108.0,"('crossover', 'COc1ccc(CC2SC(O)NC2=O)cc1C(=O)NCc1ccc(OC(F)(F)F)cc1', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(O)c3C2=O)cc1')",0.3941827363114014,0.0016425726172150414,COc1ccc(CC2COc3c(C)c(C)c(C(F)(F)F)c(O)c3C2=O)cc1
tensor(-33.5816),"[0.2702066915030304, 0.922943333333334, 0.21042857142857144, 0.567586666666667]",[0 0 0 ... 0 0 0],0.44660194174757284,110.0,"('crossover', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(F)c3C2=O)cc1', 'Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2')",0.3975268525221116,0.0014799264217167404,Cc1ccc(-c2c(O)c(C)c(C)c3c2CCC(C)(CF)O3)cc1
tensor(-4.7844),"[0.49125467809696954, 0.8161233333333339, 0.6340714285714286, 0.6909055555555559]",[0 0 0 ... 0 0 0],0.42857142857142855,115.0,"('crossover', 'Cc1ccc(-c2ccc(CC3SC(=O)NC3=O)cc2)o1', 'Cc1c(C)c2c(c(C3SC(=O)NC3=O)c1O)CCC(C)(C)O2')",0.39818936826331486,0.0023078494957909437,Cc1ccc(-c2c(C)c(O)c(C3SC(=O)NC3=O)c3c2OC(C)(C)CC3)o1
tensor(-1.7725),"[0.051854049066666665, 0.6168900000000003, 0.21042857142857144, 0.23186444444444487]",[0 0 0 ... 0 0 0],0.35051546391752575,118.0,"('crossover', 'Cc1nc(CC2SC(=O)NC2=O)c(C)o1', 'Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2')",0.35339973669621805,0.002138363751496207,Cc1c(C)c2c(c(F)c1O)CCC(C)(CF)O2
tensor(-3.8504),"[0.13365556427878797, 0.578406666666667, 0.5185714285714287, 0.3062688888888892]",[0 0 0 ... 0 0 0],0.3465346534653465,119.0,"('crossover', 'CC(=O)NCc1ccc(OC(F)(F)F)cc1', 'Cc1c(C)c2c(c(-c3ccc([N+](=O)[O-])cc3)c1O)CCC(C)(CF)O2')",0.3381022769211214,0.0015554647373143666,Cc1c(C)c2c(c([N+](=O)[O-])c1O)CCC(C)(CF)O2
tensor(-3.1620),"[0.2001712996848486, 0.37374999999999997, 0.5736428571428571, 0.3854688888888892]",[0 0 0 ... 0 0 0],0.36893203883495146,121.0,"('crossover', 'Cc1ccc(-c2nc(CC(=O)C(=O)c3ccc(CC4SC(=O)NC4=O)cc3)c(C)o2)o1', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(F)c3C2=O)cc1')",0.3694426554876926,0.0021491348831973013,CCC(=O)C(=O)c1ccc(CC2SC(=O)NC2=O)cc1
tensor(-2.8125),"[0.07897458871515152, 0.41323333333333334, 0.3957142857142857, 0.29147444444444487]",[0 0 0 ... 0 0 0],0.3958333333333333,125.0,"('crossover', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1')",0.3407583454971036,0.0026155659058745475,COc1ccc(CCC2SC(=O)NC2=O)cc1
tensor(-3.4205),"[0.5793901799272726, 0.9751433333333344, 0.3982857142857143, 0.9064366666666672]",[0 0 0 ... 1 0 0],0.4065040650406504,130.0,"('crossover', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1', 'COc1ccc(CC2COc3c(C)c(C)c(C)c(O)c3C2=O)cc1')",0.4344060477710274,0.0008946409183325189,COc1ccc(Cc2ccc(CC3COc4c(C)c(C)c(C)c(O)c4C3=O)cc2)cc1
tensor(-0.9962),"[0.4003673858424241, 0.643306666666667, 0.7064285714285715, 0.6027633333333335]",[0 0 0 ... 1 0 0],0.3893805309734513,133.0,"('crossover', 'COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2')",0.36927622129342647,8.435397962893739e-05,COc1ccc(CC2COc3c(C)c([N+](=O)[O-])c(C)c(O)c3C2=O)cc1
tensor(-6.6560),"[0.7339490637454544, 0.6975400000000004, 0.47450000000000003, 0.867894444444445]",[0 0 0 ... 0 0 0],0.3208955223880597,135.0,"('mutation', '[#6:1]>>[#7:1]', 'COc1ccc(N2CCN(c3c(C)c(C)c4c(c3OC(F)(F)F)CC(C)(CO)O4)CC2)cc1')",0.3120232899660462,0.001862069199538382,COc1ccc(N2CCN(c3c(C)c(C)c4c(c3OC(F)(F)F)CC(C)(CO)O4)CN2)cc1
tensor(-10.8151),"[0.2912226639030302, 0.6061233333333337, 0.5402142857142858, 0.494216666666667]",[0 0 0 ... 0 0 0],0.46464646464646464,140.0,"('crossover', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1', 'Cc1c(C)c2c(c([N+](=O)[O-])c1O)CCC(C)(C)O2')",0.337002838771256,0.002620231402963856,Cc1c(C)c2c(c(C3SC(=O)NC3=O)c1O)CCC(C)(C)O2
tensor(-1.0089),"[0.31542405212121216, 0.5802900000000003, 0.785, 0.49898333333333356]",[0 0 0 ... 1 0 0],0.2905982905982906,148.0,"('crossover', 'Cc1c(C)c2c(c(-c3cc(-c4ccc([N+](=O)[O-])cc4)no3)c1O)CCC(C)(C)O2', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(O)cc1)CO2')",0.36461876730979687,9.746056669494973e-05,Cc1c(O)c(C)c2c(c1O)C(=O)C(c1ccc([N+](=O)[O-])cc1)CO2
tensor(-2.2782),"[0.0031551914545454537, 0.2809233333333333, 0.5157142857142857, 0.16220777777777787]",[0 0 0 ... 0 0 0],0.29591836734693877,149.0,"('crossover', 'Cc1c(O)c(C)c2c(c1O)C(=O)C(Cc1ccc(ON)cc1)CO2', 'Cc1ccc(-c2nc(CC3SC(=O)NC3=O)c(C)o2)o1')",0.3267627031345724,0.0022740426710779853,Cc1nc(CC2SC(=O)NC2=O)c(C)o1
